iso3,country,ai_food_papers_full_count,ai_food_papers_fractional_count,n_unique_papers,first_year,last_year,region,income_group,population,gdp_current_usd,rd_expenditure_pct_gdp,food_system_need_index_main_min4,food_system_need_index_strict_all5,need_food_security_score,need_nutrition_score,need_food_waste_score,need_sustainability_score,need_supply_vulnerability_score,ai_food_papers_per_million_population_full,ai_food_papers_per_million_population_fractional,ai_food_papers_per_billion_gdp_full,ai_food_papers_per_billion_gdp_fractional
EGY,"Egypt, Arab Rep.",901.0,490.01830114330113,901,2010,2025,Middle East & North Africa,Lower middle income,116538258.0,389059911003.566,1.01757,0.6031993217242729,0.6031993217242729,0.650887573964497,0.6921093851977549,0.9813953488372092,0.1273584905660377,0.5642458100558659,7.7313666384132835,4.204784845362123,2.3158387038024633,1.2594931713198532
CHE,Switzerland,925.0,451.6196721527526,925,2010,2025,Europe & Central Asia,High income,9005582.0,936564198048.516,3.22178,0.5318276079951788,0.5318276079951788,0.1893491124260355,0.425531914893617,0.9302325581395348,0.5330188679245284,0.5810055865921788,102.71407222764725,50.1488601350532,0.987652530309602,0.48220898588028
BEL,Belgium,830.0,441.0458970991169,830,2010,2025,Europe & Central Asia,High income,11858610.0,664564181486.953,3.27235,0.3938559813845714,0.3938559813845714,0.1893491124260355,0.3278292651089936,0.1976744186046511,0.589622641509434,0.664804469273743,69.99133962580774,37.192039969196806,1.2489388130171064,0.6636618544687181
IRL,Ireland,694.0,415.88348179598177,694,2010,2025,Europe & Central Asia,High income,5395790.0,577389475009.922,1.58829,0.4380791618566307,0.4380791618566307,0.1893491124260355,0.4168189531392768,0.0488372093023255,0.929245283018868,0.6061452513966481,128.6187935408902,77.07554997432847,1.2019616394775365,0.7202824086615627
PRT,Portugal,638.0,402.7950937796294,638,2010,2025,Europe & Central Asia,High income,10694681.0,308683317392.68,1.69491,0.5409381105487107,0.5409381105487107,0.1893491124260355,0.3164648870904581,0.9348837209302324,0.5377358490566038,0.7262569832402235,59.65582330132147,37.66312373222066,2.066843149765661,1.3048813171436429
SGP,Singapore,758.0,398.4082911369676,758,2010,2025,East Asia & Pacific,High income,6036860.0,547386645891.847,1.80821,,,,0.1347898446677979,0.1674418604651162,0.1367924528301886,,125.56196433245097,65.99594675658663,1.384761586145392,0.7278370675043566
HKG,"Hong Kong SAR, China",793.0,385.0911376480417,793,2010,2025,East Asia & Pacific,High income,7524100.0,407106738445.069,1.12597,0.6614572724933871,,0.3994082840236686,,0.8534883720930233,0.4292452830188679,0.9636871508379888,105.39466514267487,51.181023331433884,1.9478921008009786,0.9459217971161195
RUS,Russian Federation,567.0,384.94816395506797,567,2010,2025,Europe & Central Asia,High income,143533851.0,2173835806671.66,0.93706,0.3427611795843537,0.3427611795843537,0.1893491124260355,0.6223404255319149,0.0232558139534883,0.7783018867924528,0.1005586592178771,3.9502876572300707,2.6819329466403574,0.260829266985039,0.17708244696937742
DNK,Denmark,730.0,373.485812722709,730,2010,2025,Europe & Central Asia,High income,5976992.0,429457372071.869,3.04841,0.3654988491482722,0.3654988491482722,0.1893491124260355,0.4308510638297872,0.2906976744186046,0.8160377358490566,0.1005586592178771,122.13501373266018,62.48725324087919,1.6998194639859054,0.8696691150529527
SWE,Sweden,747.0,359.3283176464059,747,2010,2025,Europe & Central Asia,High income,10569709.0,610117791237.089,3.59978,0.3549295438351916,0.3549295438351916,0.1893491124260355,0.5053191489361702,0.1209302325581395,0.8584905660377359,0.1005586592178771,70.67365809219535,33.9960464045326,1.224353740751217,0.5889490895156875
